index,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,fifties,thirties,zeros,overall_average,strike_rate,form_innings,form_runs,recent_not_outs,recent_100s,recent_50s,recent_30s,recent_zeros,form_average,home_innings,home_runs,home_not_out_count,home_100s,home_50s,home_30s,home_zeros,home_average,away_innings,away_runs,away_not_out_count,away_100s,away_50s,away_30s,away_zeros,away_average,img_url
776,MD Gunathilaka,Sri Lanka,26,542,0,467,0,3,4,0,20.84615385,108.7098609,10,202,0,0,2,0,0,20.2,5,96,0,0,0,1,0,19.2,21,446,0,0,3,3,0,21.23809524,https://i.ibb.co/YN3dFnR/player.png
777,RAS Lakmal,Sri Lanka,5,7,2,11,0,0,0,2,2.333333333,55,5,7,2,0,0,0,2,2.333333333,2,6,1,0,0,0,0,6,3,1,1,0,0,0,2,0.5,https://i.ibb.co/YN3dFnR/player.png
779,JM Vince,England,12,340,0,283,0,1,5,0,28.33333333,109.5569083,10,261,0,0,1,3,0,26.1,2,52,0,0,0,1,0,26,10,288,0,0,1,4,0,28.8,https://i.ibb.co/YN3dFnR/player.png
780,LE Plunkett,England,9,42,2,34,0,0,0,3,6,83.73737374,9,42,2,0,0,0,3,6,4,30,1,0,0,0,1,10,5,12,1,0,0,0,2,3,https://i.ibb.co/YN3dFnR/player.png
782,AV Lalcheta,Oman,9,85,3,77,0,0,0,0,14.16666667,103.3115468,9,85,3,0,0,0,0,14.16666667,0,31,1,0,0,0,0,13,9,85,3,0,0,0,0,14.16666667,https://i.ibb.co/YN3dFnR/player.png
787,TS Chisoro,Zimbabwe,7,43,4,48,0,0,0,0,14.33333333,79.71243043,7,43,4,0,0,0,0,14.33333333,2,7,0,0,0,0,0,3.5,5,36,4,0,0,0,0,36,https://i.ibb.co/YN3dFnR/player.png
788,PJ Moor,Zimbabwe,19,364,4,296,0,1,4,0,24.26666667,132.6675761,10,230,1,0,1,2,0,25.55555556,5,108,0,0,0,2,0,21.6,14,256,4,0,1,2,0,25.6,https://i.ibb.co/YN3dFnR/player.png
789,DT Tiripano,Zimbabwe,10,122,2,113,0,0,0,1,15.25,92.85714286,10,122,2,0,0,0,1,15.25,1,11,1,0,0,0,0,0,9,111,1,0,0,0,1,13.875,https://i.ibb.co/YN3dFnR/player.png
790,Rashid Khan,Afghanistan,25,173,12,140,0,0,1,5,13.30769231,132.1258852,10,63,6,0,0,0,2,15.75,0,31,1,0,0,0,0,13,25,173,12,0,0,1,5,13.30769231,https://i.ibb.co/YN3dFnR/player.png
791,N Dickwella,Sri Lanka,24,466,1,351,0,1,6,2,20.26086957,116.4808571,10,196,1,0,0,4,2,21.77777778,5,116,1,0,0,2,0,29,19,350,0,0,1,4,2,18.42105263,https://i.ibb.co/YN3dFnR/player.png
792,DAS Gunaratne,Sri Lanka,12,225,3,183,0,2,1,2,25,92.26904822,10,211,2,0,2,1,2,26.375,2,17,0,0,0,0,1,8.5,10,208,3,0,2,1,1,29.71428571,https://i.ibb.co/YN3dFnR/player.png
794,AJ Tye,Australia,10,61,4,58,0,0,0,3,10.16666667,94.73737374,10,61,4,0,0,0,3,10.16666667,3,16,1,0,0,0,1,8,7,45,3,0,0,0,2,11.25,https://i.ibb.co/YN3dFnR/player.png
795,S Bau,Papua New Guinea,13,288,3,285,0,0,4,1,28.8,94.54859783,10,241,3,0,0,4,0,34.42857143,1,33,0,0,0,1,0,33,12,255,3,0,0,3,1,28.33333333,https://i.ibb.co/YN3dFnR/player.png
802,AR McBrine,Ireland,11,73,5,71,0,0,0,1,12.16666667,96.496559,10,63,4,0,0,0,1,10.5,1,10,0,0,0,0,0,10,10,63,5,0,0,0,1,12.6,https://i.ibb.co/YN3dFnR/player.png
803,Nurul Hasan,Bangladesh,8,78,4,64,0,0,1,1,19.5,101.8055556,8,78,4,0,0,1,1,19.5,5,54,2,0,0,1,1,18,3,24,2,0,0,0,0,24,https://i.ibb.co/YN3dFnR/player.png
