Unnamed: 0,ID,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,fifties,thirties,zeros,overall_average,strike_rate,form_innings,form_runs,recent_not_outs,recent_100s,recent_50s,recent_30s,recent_zeros,form_average,total_recent_ball_faced,form_strike_rate,home_innings,home_runs,home_not_out_count,home_100s,home_50s,home_30s,home_zeros,home_average,total_home_ball_faced,home_strike_rate,away_innings,away_runs,away_not_out_count,away_100s,away_50s,away_30s,away_zeros,away_average,total_away_ball_faced,away_strike_rate,overall_Percentage,recent_Percentage,home_Percentage,away_Percentage
1214,1215,J Vira,Vanuatu,7,44,3,35,0,0,0,0,11,124.5238095,7,44,3,0,0,0,0,11,0,0,0,31,1,0,0,0,0,13,0,0,7,44,3,0,0,0,0,11,0,0,25.5,25.5,0,29.7
1215,1216,Mohamed Arief,Malaysia,10,214,2,175,0,1,1,0,26.75,108.2126213,10,214,2,0,1,1,0,26.75,0,0,9,199,2,0,1,1,0,28.42857143,0,0,1,15,0,0,0,0,0,15,0,0,22.6,22.6,26,17
1216,1217,Zubaidi Zulkifle,Malaysia,4,31,0,31,0,0,0,1,7.75,73.88888889,4,31,0,0,0,0,1,7.75,0,0,4,31,0,0,0,0,1,7.75,0,0,0,36.5,1,0,0,0,0,13,0,0,14.6,14.6,16.5,0
1217,1218,Nazril Rahman,Malaysia,5,45,1,52,0,0,0,1,11.25,72.94261294,5,45,1,0,0,0,1,11.25,0,0,5,45,1,0,0,0,1,11.25,0,0,0,36.5,1,0,0,0,0,13,0,0,18.2,18.2,20.6,0
1218,1219,Muhammad Wafiq,Malaysia,3,9,1,12,0,0,0,1,4.5,53.57142857,3,9,1,0,0,0,1,4.5,0,0,3,9,1,0,0,0,1,4.5,0,0,0,36.5,1,0,0,0,0,13,0,0,21.9,21.9,24.7,0
1219,1220,Ainool Haqqiem,Malaysia,2,20,1,21,0,0,0,0,20,96.15384615,2,20,1,0,0,0,0,20,0,0,2,20,1,0,0,0,0,20,0,0,0,36.5,1,0,0,0,0,13,0,0,29.1,29.1,32.9,0
1220,1221,Taijul Islam,Bangladesh,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,36.5,1,0,0,0,0,13,0,0,0,0,0,0
1221,1222,Nazmul Hossain Shanto,Bangladesh,3,24,0,24,0,0,0,0,8,101.9444444,3,24,0,0,0,0,0,8,0,0,2,16,0,0,0,0,0,8,0,0,1,8,0,0,0,0,0,8,0,0,14.6,14.6,16.5,17
1222,1223,A Ndlovu,Zimbabwe,1,2,0,4,0,0,0,0,2,50,1,2,0,0,0,0,0,2,0,0,0,31,1,0,0,0,0,13,0,0,1,2,0,0,0,0,0,2,0,0,14.6,14.6,0,17
1223,1224,Fazal Niazai,Afghanistan,1,12,0,15,0,0,0,0,12,80,1,12,0,0,0,0,0,12,0,0,0,31,1,0,0,0,0,13,0,0,1,12,0,0,0,0,0,12,0,0,14.6,14.6,0,17
1224,1225,BB Chari,Zimbabwe,3,21,0,31,0,0,0,1,7,42.59259259,3,21,0,0,0,0,1,7,0,0,0,31,1,0,0,0,0,13,0,0,3,21,0,0,0,0,1,7,0,0,14.6,14.6,0,17
1225,1226,Aarif Sheikh,Nepal,11,204,3,197,0,0,2,0,25.5,100.7916932,10,196,3,0,0,2,0,28,0,0,3,53,2,0,0,1,0,53,0,0,8,151,1,0,0,1,0,21.57142857,0,0,23.4,24,51.4,21.4
1226,1227,Kushal Malla,Nepal,4,62,1,48,0,0,1,0,20.66666667,104.7619048,4,62,1,0,0,1,0,20.66666667,0,0,0,31,1,0,0,0,0,13,0,0,4,62,1,0,0,1,0,20.66666667,0,0,21.4,21.4,0,25
1227,1228,S Bhari,Nepal,4,1,3,7,0,0,0,3,1,12.5,4,1,3,0,0,0,3,1,0,0,1,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,3,0,0,0,58.3,58.3,0,0
1228,1229,S Snater,Netherlands,5,18,0,18,0,0,0,2,3.6,68.57142857,5,18,0,0,0,0,2,3.6,0,0,2,8,0,0,0,0,0,4,0,0,3,10,0,0,0,0,2,3.333333333,0,0,14.6,14.6,16.5,17
1229,1230,C Floyd,Netherlands,2,23,1,24,0,0,0,0,23,75.26315789,2,23,1,0,0,0,0,23,0,0,0,31,1,0,0,0,0,13,0,0,2,23,1,0,0,0,0,23,0,0,29.1,29.1,0,34
1230,1231,CM Akachukwu,Nigeria,4,14,2,15,0,0,0,0,7,89.58333333,4,14,2,0,0,0,0,7,0,0,0,31,1,0,0,0,0,13,0,0,4,14,2,0,0,0,0,7,0,0,29.1,29.1,0,34
1231,1232,HE van der Dussen,South Africa,17,542,3,417,0,3,7,1,38.71428571,115.3628353,10,289,3,0,1,4,0,41.28571429,0,0,15,528,3,0,3,7,1,44,0,0,2,14,0,0,0,0,0,7,0,0,30.4,27.3,33.6,17
1232,1233,D Pretorius,South Africa,8,159,3,98,0,1,0,0,31.8,145.7051282,8,159,3,0,1,0,0,31.8,0,0,5,125,1,0,1,0,0,31.25,0,0,3,34,2,0,0,0,0,34,0,0,26.5,26.5,23.4,51
1233,1234,Vikramjit Singh,Netherlands,1,15,0,13,0,0,0,0,15,115.3846154,1,15,0,0,0,0,0,15,0,0,0,31,1,0,0,0,0,13,0,0,1,15,0,0,0,0,0,15,0,0,14.6,14.6,0,17
1234,1235,OJ Hairs,Scotland,6,105,0,69,0,0,0,1,17.5,134.858909,6,105,0,0,0,0,1,17.5,0,0,0,31,1,0,0,0,0,13,0,0,6,105,0,0,0,0,1,17.5,0,0,14.6,14.6,0,17
1235,1236,I Pandey,Nepal,4,33,0,54,0,0,0,0,8.25,57.84313725,4,33,0,0,0,0,0,8.25,0,0,0,31,1,0,0,0,0,13,0,0,4,33,0,0,0,0,0,8.25,0,0,14.6,14.6,0,17
1236,1237,S Jora,Nepal,6,101,1,87,0,1,0,1,20.2,89.1550766,6,101,1,0,1,0,1,20.2,0,0,0,31,1,0,0,0,0,13,0,0,6,101,1,0,1,0,1,20.2,0,0,21.2,21.2,0,24.7
1237,1238,Aritra Dutta,Singapore,8,116,0,117,0,0,2,0,14.5,88.8967803,8,116,0,0,0,2,0,14.5,0,0,2,10,0,0,0,0,0,5,0,0,6,106,0,0,0,2,0,17.66666667,0,0,18.9,18.9,16.5,21.1
1238,1239,NMS Param,Singapore,7,160,2,125,0,1,0,0,32,117.5586913,7,160,2,0,1,0,0,32,0,0,1,2,0,0,0,0,0,2,0,0,6,158,2,0,1,0,0,39.5,0,0,23.1,23.1,16.5,28.3
1239,1240,Sidhant Singh,Singapore,9,178,2,144,0,2,0,1,25.42857143,100.835334,9,178,2,0,2,0,1,25.42857143,0,0,2,10,1,0,0,0,0,10,0,0,7,168,1,0,2,0,1,28,0,0,25,25,32.9,25.9
1240,1241,T Munyonga,Zimbabwe,2,45,1,36,0,0,1,0,45,112.8571429,2,45,1,0,0,1,0,45,0,0,0,31,1,0,0,0,0,13,0,0,2,45,1,0,0,1,0,45,0,0,30.5,30.5,0,35.6
1241,1242,S Vijayakumar,Singapore,2,2,0,5,0,0,0,0,1,62.5,2,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,14.6,14.6,16.5,17
1242,1243,Amjad Mahboob,Singapore,5,3,1,14,0,0,0,2,0.75,20.66666667,5,3,1,0,0,0,2,0.75,0,0,1,0,0,0,0,0,1,0,0,0,4,3,1,0,0,0,1,1,0,0,18.2,18.2,0,22.7
