,ID,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,thirties,fifties,zeros,overall_average,strike_rate,home_innings,away_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s
214,215,Junaid Siddique,Bangladesh,7,159,0,112,0,1,1,1,22.71428571,135.4145854,0,7,,,,,,,,,,7,159,1,1,1,0,0,22.71428571,0,0,159,0,22.71428571,0,0,1,1,1,0
215,216,Nadif Chowdhury,Bangladesh,2,17,1,16,0,0,0,0,17,101.6666667,0,2,,,,,,,,,,2,17,0,0,0,0,1,17,0,0,17,1,17,0,0,0,0,0,0
216,217,NL McCullum,New Zealand,38,299,12,310,0,1,0,4,11.5,82.02573896,9,29,33,2,4.714285714,0,0,2,0,0,0,10,61,1,0,0,0,3,8.714285714,0,0,266,10,14,0,0,2,1,0,0
217,218,JN Snape,England,1,7,0,11,0,0,0,0,7,63.63636364,0,1,,,,,,,,,,1,7,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0
218,219,P Mustard,England,2,60,0,38,0,1,0,0,30,156.9230769,0,2,,,,,,,,,,2,60,0,1,0,0,0,30,0,0,60,0,30,0,0,0,1,0,0
219,220,GP Swann,England,15,104,9,91,0,1,0,3,17.33333333,82.32071632,5,10,33,2,11,0,0,2,0,0,0,10,71,2,1,0,0,6,17.75,0,0,71,7,23.66666667,0,0,1,1,0,0
220,221,RJ Sidebottom,England,1,5,1,4,0,0,0,0,0,125,0,1,,,,,,,,,,1,5,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0
221,222,JD Ryder,New Zealand,21,457,2,369,0,4,3,2,24.05263158,108.8187448,12,9,238,1,21.63636364,0,0,2,0,2,0,10,182,2,2,1,0,1,20.22222222,0,0,219,1,27.375,0,0,0,4,1,0
222,223,JM How,New Zealand,5,56,0,68,0,1,0,0,11.2,73.46507177,2,3,37,0,18.5,0,0,0,1,0,0,5,56,0,1,0,0,0,11.2,0,0,19,0,6.333333333,0,0,0,0,0,0
223,224,TG Southee,New Zealand,31,249,9,178,0,1,0,4,11.31818182,120.2284003,17,14,133,6,12.09090909,0,0,2,1,0,0,10,104,0,1,0,0,3,14.85714286,0,0,116,3,10.54545455,0,0,2,0,0,0
