index,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,fifties,thirties,zeros,overall_average,strike_rate,form_innings,form_runs,recent_not_outs,recent_100s,recent_50s,recent_30s,recent_zeros,form_average,home_innings,home_runs,home_not_out_count,home_100s,home_50s,home_30s,home_zeros,home_average,away_innings,away_runs,away_not_out_count,away_100s,away_50s,away_30s,away_zeros,away_average,img_url
946,MWR Stokes,Guernsey,3,33,0,48,0,0,0,0,11,63.68983957,3,33,0,0,0,0,0,11,3,33,0,0,0,0,0,11,0,36.5,1,0,0,0,0,13,https://i.ibb.co/YN3dFnR/player.png
947,LJ Barker,Guernsey,4,39,0,45,0,0,0,1,9.75,58.19746377,4,39,0,0,0,0,1,9.75,4,39,0,0,0,0,1,9.75,0,36.5,1,0,0,0,0,13,https://i.ibb.co/YN3dFnR/player.png
948,LB Ferbrache,Guernsey,5,88,1,89,0,1,0,1,22,69.11716303,5,88,1,0,1,0,1,22,5,88,1,0,1,0,1,22,0,36.5,1,0,0,0,0,13,https://i.ibb.co/YN3dFnR/player.png
949,DR Hooper,Guernsey,4,40,2,55,0,0,0,1,20,59.56439394,4,40,2,0,0,0,1,20,4,40,2,0,0,0,1,20,0,36.5,1,0,0,0,0,13,https://i.ibb.co/YN3dFnR/player.png
950,TCR Kimber,Guernsey,3,5,0,13,0,0,0,0,1.666666667,41.11111111,3,5,0,0,0,0,0,1.666666667,3,5,0,0,0,0,0,1.666666667,0,36.5,1,0,0,0,0,13,https://i.ibb.co/YN3dFnR/player.png
951,LC Le Tissier,Guernsey,5,30,4,29,0,0,0,0,30,105.047619,5,30,4,0,0,0,0,30,5,30,4,0,0,0,0,30,0,36.5,1,0,0,0,0,13,https://i.ibb.co/YN3dFnR/player.png
952,ACF Stokes,Guernsey,3,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,36.5,1,0,0,0,0,13,https://i.ibb.co/YN3dFnR/player.png
953,P Sarraf,Nepal,10,85,2,100,0,0,0,3,10.625,70.10017825,10,85,2,0,0,0,3,10.625,2,10,1,0,0,0,1,10,8,75,1,0,0,0,2,10.71428571,https://i.ibb.co/YN3dFnR/player.png
954,RK Paudel,Nepal,10,80,2,91,0,0,0,0,10,91.66441047,10,80,2,0,0,0,0,10,3,31,1,0,0,0,0,15.5,7,49,1,0,0,0,0,8.166666667,https://i.ibb.co/YN3dFnR/player.png
955,Virandeep Singh,Malaysia,20,561,2,536,0,2,8,1,31.16666667,95.6997313,10,316,1,0,1,6,0,35.11111111,13,381,1,0,2,5,1,31.75,7,180,1,0,0,3,0,30,https://i.ibb.co/YN3dFnR/player.png
956,Syed Aziz,Malaysia,20,533,2,427,0,4,3,2,29.61111111,110.319817,10,294,1,0,2,1,0,32.66666667,14,411,2,0,4,0,1,34.25,6,122,0,0,0,3,1,20.33333333,https://i.ibb.co/YN3dFnR/player.png
957,Ahmed Faiz Mohammad Noor,Malaysia,15,363,1,321,0,1,3,0,25.92857143,110.1700703,10,258,0,0,1,2,0,25.8,9,267,1,0,1,3,0,33.375,6,96,0,0,0,0,0,16,https://i.ibb.co/YN3dFnR/player.png
958,Shafiq Sharif,Malaysia,9,172,0,141,0,0,4,2,19.11111111,87.01915186,9,172,0,0,0,4,2,19.11111111,5,86,0,0,0,2,1,17.2,4,86,0,0,0,2,1,21.5,https://i.ibb.co/YN3dFnR/player.png
959,Anwar Arudin,Malaysia,15,137,1,156,0,0,1,4,9.785714286,65.1330768,10,71,1,0,0,0,4,7.888888889,9,106,1,0,0,1,1,13.25,6,31,0,0,0,0,3,5.166666667,https://i.ibb.co/YN3dFnR/player.png
960,Aminuddin Ramly,Malaysia,15,168,4,121,0,0,1,1,15.27272727,133.8333333,10,96,2,0,0,0,0,12,8,68,3,0,0,0,1,13.6,7,100,1,0,0,1,0,16.66666667,https://i.ibb.co/YN3dFnR/player.png
961,M Syahadat Ramli,Malaysia,8,110,2,92,0,0,1,0,18.33333333,108.9025298,8,110,2,0,0,1,0,18.33333333,4,77,2,0,0,1,0,38.5,4,33,0,0,0,0,0,8.25,https://i.ibb.co/YN3dFnR/player.png
962,S Muniandy,Malaysia,18,197,5,143,0,0,0,2,15.15384615,135.8491663,10,151,3,0,0,0,0,21.57142857,12,160,3,0,0,0,1,17.77777778,6,37,2,0,0,0,1,9.25,https://i.ibb.co/YN3dFnR/player.png
963,Fitri Sham,Malaysia,12,52,4,71,0,0,0,1,6.5,70.61995266,10,40,3,0,0,0,0,5.714285714,6,39,2,0,0,0,1,9.75,6,13,2,0,0,0,0,3.25,https://i.ibb.co/YN3dFnR/player.png
964,Raza Iqbal,Norway,4,48,0,55,0,0,0,0,12,86.06601732,4,48,0,0,0,0,0,12,0,31,1,0,0,0,0,13,4,48,0,0,0,0,0,12,https://i.ibb.co/YN3dFnR/player.png
